Label,Year,Type of Offence,UNIT,VALUE
Recorded crime incidents,2016,Arson,Number,1597
Recorded crime incidents,2017,Arson,Number,1697
Recorded crime incidents,2018,Arson,Number,1676
Recorded crime incidents,2019,Arson,Number,1589
Recorded crime incidents,2020,Arson,Number,1382
Recorded crime incidents,2021,Arson,Number,1396
Recorded crime incidents,2022,Arson,Number,1393
