"Title","Year","UNIT","Male","Female","Total"
"Median Equivalised Real Disposable Income","2011","Euro","19209","17988","37197"
"Median Equivalised Real Disposable Income","2012","Euro","18204","17703","35907"
"Median Equivalised Real Disposable Income","2013","Euro","18122","17567","35689"
"Median Equivalised Real Disposable Income","2014","Euro","18310","17875","36185"
"Median Equivalised Real Disposable Income","2015","Euro","19665","18846","38511"
"Median Equivalised Real Disposable Income","2016","Euro","20471","19690","40161"
"Median Equivalised Real Disposable Income","2017","Euro","20888","20291","41179"
